tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2
Root,Root,root,Root,Root,,,
Homologous_mmoX,Root,rank_0,Homologous_mmoX,Root,Homologous_mmoX,,
Butane_MO,Homologous_mmoX,rank_1,Butane_MO,Root,Homologous_mmoX,Butane_MO,
Mycobacterium,Homologous_mmoX,rank_1,Mycobacterium,Root,Homologous_mmoX,Mycobacterium,
Propane_MO,Homologous_mmoX,rank_1,Propane_MO,Root,Homologous_mmoX,Propane_MO,
Actinobacteria,Homologous_mmoX,rank_1,Actinobacteria,Root,Homologous_mmoX,Actinobacteria,
Likely_mmoX,Root,rank_0,Likely_mmoX,Root,Likely_mmoX,,
Methylocystaceae_mmoX,Likely_mmoX,rank_1,Methylocystaceae_mmoX,Root,Likely_mmoX,Methylocystaceae_mmoX,
Methylocystis_mmoX,Methylocystaceae_mmoX,rank_2,Methylocystis_mmoX,Root,Likely_mmoX,Methylocystaceae_mmoX,Methylocystis_mmoX
Methylocystis_Methylosinus_mmoX,Methylocystaceae_mmoX,rank_2,Methylocystis_Methylosinus_mmoX,Root,Likely_mmoX,Methylocystaceae_mmoX,Methylocystis_Methylosinus_mmoX
Hyphomicrobiaceae_mmoX,Likely_mmoX,rank_1,Hyphomicrobiaceae_mmoX,Root,Likely_mmoX,Hyphomicrobiaceae_mmoX,
Beijerinckiaceae_mmoX,Likely_mmoX,rank_1,Beijerinckiaceae_mmoX,Root,Likely_mmoX,Beijerinckiaceae_mmoX,
Methylococcaceae_mmoX,Likely_mmoX,rank_1,Methylococcaceae_mmoX,Root,Likely_mmoX,Methylococcaceae_mmoX,
Methylocaldum_methylococcus_mmoX,Methylococcaceae_mmoX,rank_2,Methylocaldum_methylococcus_mmoX,Root,Likely_mmoX,Methylococcaceae_mmoX,Methylocaldum_methylococcus_mmoX
Methylomicrobium_mmoX,Methylococcaceae_mmoX,rank_2,Methylomicrobium_mmoX,Root,Likely_mmoX,Methylococcaceae_mmoX,Methylomicrobium_mmoX
Methylovulum_mmoX,Methylococcaceae_mmoX,rank_2,Methylovulum_mmoX,Root,Likely_mmoX,Methylococcaceae_mmoX,Methylovulum_mmoX
Methylomonas_mmoX,Methylococcaceae_mmoX,rank_2,Methylomonas_mmoX,Root,Likely_mmoX,Methylococcaceae_mmoX,Methylomonas_mmoX
