tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2
Root,Root,root,Root,Root,,,
Homologous_pmoA,Root,rank_0,Homologous_pmoA,Root,Homologous_pmoA,,
Actinobacteria,Homologous_pmoA,rank_1,Actinobacteria,Root,Homologous_pmoA,Actinobacteria,
Homologous_Binatales,Homologous_pmoA,rank_1,Homologous_Binatales,Root,Homologous_pmoA,Homologous_Binatales,
pmoA_amoA_pxmA,Root,rank_0,pmoA_amoA_pxmA,Root,pmoA_amoA_pxmA,,
Verrucomicrobia_pmoA,pmoA_amoA_pxmA,rank_1,Verrucomicrobia_pmoA,Root,pmoA_amoA_pxmA,Verrucomicrobia_pmoA,
Putative_pmoA_Binatales,pmoA_amoA_pxmA,rank_1,Putative_pmoA_Binatales,Root,pmoA_amoA_pxmA,Putative_pmoA_Binatales,
Cycloclasticus,pmoA_amoA_pxmA,rank_1,Cycloclasticus,Root,pmoA_amoA_pxmA,Cycloclasticus,
Nevskiales_Macondimonas,pmoA_amoA_pxmA,rank_1,Nevskiales_Macondimonas,Root,pmoA_amoA_pxmA,Nevskiales_Macondimonas,
Nevskiales,Nevskiales_Macondimonas,rank_2,Nevskiales,Root,pmoA_amoA_pxmA,Nevskiales_Macondimonas,Nevskiales
TUSC,pmoA_amoA_pxmA,rank_1,TUSC,Root,pmoA_amoA_pxmA,TUSC,
NC10,pmoA_amoA_pxmA,rank_1,NC10,Root,pmoA_amoA_pxmA,NC10,
Gammaproteobacteria_pmoA,pmoA_amoA_pxmA,rank_1,Gammaproteobacteria_pmoA,Root,pmoA_amoA_pxmA,Gammaproteobacteria_pmoA,
USCg,Gammaproteobacteria_pmoA,rank_2,USCg,Root,pmoA_amoA_pxmA,Gammaproteobacteria_pmoA,USCg
Methylococcaceae_pmoA,Gammaproteobacteria_pmoA,rank_2,Methylococcaceae_pmoA,Root,pmoA_amoA_pxmA,Gammaproteobacteria_pmoA,Methylococcaceae_pmoA
Nitrosococcus,pmoA_amoA_pxmA,rank_1,Nitrosococcus,Root,pmoA_amoA_pxmA,Nitrosococcus,
Hyphomicrobiaceae_pmoA,pmoA_amoA_pxmA,rank_1,Hyphomicrobiaceae_pmoA,Root,pmoA_amoA_pxmA,Hyphomicrobiaceae_pmoA,
Beijerinckiaceae_pmoA,pmoA_amoA_pxmA,rank_1,Beijerinckiaceae_pmoA,Root,pmoA_amoA_pxmA,Beijerinckiaceae_pmoA,
USCa,Beijerinckiaceae_pmoA,rank_2,USCa,Root,pmoA_amoA_pxmA,Beijerinckiaceae_pmoA,USCa
Methylocystaceae_pmoA1,pmoA_amoA_pxmA,rank_1,Methylocystaceae_pmoA1,Root,pmoA_amoA_pxmA,Methylocystaceae_pmoA1,
Methylocystaceae_pmoA2,pmoA_amoA_pxmA,rank_1,Methylocystaceae_pmoA2,Root,pmoA_amoA_pxmA,Methylocystaceae_pmoA2,
pxmA,pmoA_amoA_pxmA,rank_1,pxmA,Root,pmoA_amoA_pxmA,pxmA,
Methylococcaceae_pxmA,pxmA,rank_2,Methylococcaceae_pxmA,Root,pmoA_amoA_pxmA,pxmA,Methylococcaceae_pxmA
Alphaproteobacteria_pxmA,pxmA,rank_2,Alphaproteobacteria_pxmA,Root,pmoA_amoA_pxmA,pxmA,Alphaproteobacteria_pxmA
Homologous_MO,pmoA_amoA_pxmA,rank_1,Homologous_MO,Root,pmoA_amoA_pxmA,Homologous_MO,
amoA,pmoA_amoA_pxmA,rank_1,amoA,Root,pmoA_amoA_pxmA,amoA,
Nitrospira_clade_B,amoA,rank_2,Nitrospira_clade_B,Root,pmoA_amoA_pxmA,amoA,Nitrospira_clade_B
Nitrospira_clade_A,amoA,rank_2,Nitrospira_clade_A,Root,pmoA_amoA_pxmA,amoA,Nitrospira_clade_A
Betaproteobacteria_amoA,amoA,rank_2,Betaproteobacteria_amoA,Root,pmoA_amoA_pxmA,amoA,Betaproteobacteria_amoA
