seqname,tax_id
F600DRAFT_scaffold00001.1_580_2519103184,Actinobacteria
ASEP01000131_2_2541046990,Actinobacteria
CP003169_3047803_1_50003,Actinobacteria
CP003054_573342_6_9869,Actinobacteria
WP_174401550.1_Bay,Actinobacteria
AAA240-J09__Contig_0056__2_2505119050,Homologous_pmoA
MFD_contig_117444_1664_2_34,Homologous_pmoA
NZ_ADVI01000043_53_651324077,Homologous_pmoA
WP_066887011.1_Bay,Homologous_pmoA
MFD_contig_9699_100544_5_1867,Homologous_Binatales
MFD_contig_50193_17331_3_346,Homologous_Binatales
MFD_contig_20567_91357_1_1670,Homologous_Binatales
MFD_contig_72823_65230_4_1236,Homologous_Binatales
MPMI01000002.1_141_Bin18_Murphy,Homologous_Binatales
contig_735_568_4_24_Singleton,Homologous_Binatales
MFD_contig_100_502056_6_8797,Homologous_Binatales
MFD_contig_5776_163186_4_2751,Homologous_Binatales
MFD_contig_47617_10748_2_213,Homologous_Binatales
MFD_contig_12558_30205_4_520,Homologous_Binatales
MFD_contig_68145_5843_5_113,Homologous_Binatales
MFD_contig_27846_36631_4_717,Homologous_Binatales
MFD_contig_40033_76651_1_1469,Homologous_Binatales
MFD_contig_55009_95651_5_1885,Homologous_Binatales
MFD_contig_62128_21945_3_435,Homologous_Binatales
MFD_contig_33574_56005_4_1015,Homologous_Binatales
contig_194724_377_2_20_Singleton,Homologous_Binatales
MFD_contig_20263_111406_4_1967,Homologous_Binatales
contig_1109908_2_5_9_Singleton,Homologous_Binatales
MFD_contig_3202_488327_2_8728,Homologous_Binatales
MFD_contig_71630_43718_2_768,Homologous_Binatales
MFD_contig_22133_3527_2_62,Homologous_Binatales
MFD_contig_4501_213907_4_3728,Homologous_Binatales
EU223855_1_1_12,Verrucomicrobia_pmoA
EF591087_949_1_23,Verrucomicrobia_pmoA
FJ462790_1_1_7,Verrucomicrobia_pmoA
KM210551_1_1_10,Verrucomicrobia_pmoA
KM210550_1_1_12,Verrucomicrobia_pmoA
KM210549_1_1_14,Verrucomicrobia_pmoA
KM210552_1_1_13,Verrucomicrobia_pmoA
G346DRAFT_scf7180000000013_quiver.1_1244_2540341242,Verrucomicrobia_pmoA
G346DRAFT_scf7180000000013_quiver.1_1247_2540341242,Verrucomicrobia_pmoA
FJ462791_1_1_15,Verrucomicrobia_pmoA
CAHT01000085_3_2537562046,Verrucomicrobia_pmoA
EU223862_1_1_9,Verrucomicrobia_pmoA
EU223859_1_1_11,Verrucomicrobia_pmoA
FJ462788_1_1_17,Verrucomicrobia_pmoA
CAHT01000087_2_2537562046,Verrucomicrobia_pmoA
EF591086_940_1_28,Verrucomicrobia_pmoA
Ga0209061_1000010_25_Binatales_Murphy,Putative_pmoA_Binatales
MFD_contig_11328_162751_1_3149,Putative_pmoA_Binatales
MFD_contig_19079_24258_6_485,Putative_pmoA_Binatales
contig_29756_9107_5_196_Singleton,Putative_pmoA_Binatales
MFD_contig_10108_64394_2_1236,Putative_pmoA_Binatales
MFD_contig_27164_3016318_1_51888,Putative_pmoA_Binatales
Ga0063156_NODE_12_len_21432_cov_9_30912_ID_127.59_14_2599185284,Cycloclasticus
Ga0063158_NODE_6_len_39716_cov_162_443_ID_7.6_28_2599185277,Cycloclasticus
gtdb_NZ_SRIO01000008.1_7_Macondimonas_diazotrophica,Nevskiales_Macondimonas
gtdb_NZ_SUKF01000001.1_124_Nevskiales,Nevskiales
gtdb_NZ_AQQV01000002.1_5_Nevskiales,Nevskiales
gtdb_NZ_SOBT01000008.1_1665_Nevskiales,Nevskiales
ALF41054.1_Bay,TUSC
DMC_bin_26_TUSC_Gwak,TUSC
ACD68291.1_Bay,TUSC
AHH01437.1_Bay,TUSC
AWJ65459.1_Bay,TUSC
AWJ65777.1_Bay,TUSC
CBX88146.1_Bay,TUSC
MFD_contig_98411_93474_3_1397,TUSC
contig_32_PROKKA_00862_U_43_Singleton,NC10
contig_40_PROKKA_02853_U_2554_Singleton,NC10
FP565575_2106352_4_38528,NC10
WP_107560874.1_Bay,NC10
MBA2591871.1_USCg_Leung,USCg
